unclear_species_marker,kew_id,taxon_name,taxon_name_binom,authors,taxon_name_WCVP,authors_WCVP,matches,order,family,genus,subgenus,section,subsection,series,species,group,aggregate,members_of_agg.,rank,taxonomic_status,accepted_kew_id,accepted_name,accepted_authors,imperfect_match_with_Stace_IV,WCVP_URL,POWO_URL,IPNI_URL,accepted_WCVP_URL,StaceIV_nativity,Atlas_nativity_viaALIENATT_PLANTATT,Stace_Crawley_nativity_aliens,origin,TDWG_level_1_code,broad_continental_origin,ecoflora_life_form,Christenhusz_life_form,biome,GB_Man_hectads_post2000,Ire_hectads_post2000,CI_hectads_post2000,GB_Man_hectads_1987_1999,Ire_hectads_1987_1999,CI_hectads_1987_1999,GB_Man_hectads_2000_2009,Ire_hectads_2000_2009,CI_hectads_2000_2009,GB_Man_hectads_2010_2019,Ire_hectads_2010_2019,CI_hectads_2010_2019,ATLAS2020_freq,IUCN_authority,IUCN_assessmentId,IUCN_interlTaxonId,IUCN_redlistCategory,IUCN_redlistCriteria,IUCN_criteriaVersion,IUCN_populationTrend,IUCN_scopes,growth_form,succulence,SLA,LDMC,seed_mass,leaf_area,mean_veg_height,max_veg_height,L_PLANTATT,F_PLANTATT,R_PLANTATT,N_PLANTATT,S_PLANTATT,T_PLANTATT,L_Doring,F_Doring,R_Doring,N_Doring,S_Doring,T_Doring,ECPE_CSR,predicted_CSR
,60468511-2,Abies alba Mill.,Abies alba,Mill.,Abies alba,Mill.,1,Pinales,Pinaceae,Abies,,,,,alba,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/60468511-2,http://plantsoftheworldonline.org/taxon/60468511-2,https://ipni.org/n/60468511-2,,Neo-natd,AN,Neo,mountains in C Europe,1,Europe,phanerophyte,,,382,230,0,230,28,0,120,179,0,303,89,0,803,Mill.,83978869,4227,Least Concern,,3.1,Stable,Global & Europe,Tree,NA,7.698508098,0.529816331,65.61283431,255.0291582,46.84389333,68,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0,5,NA,S
,325658-2,Abies amabilis Douglas ex J. Forbes,Abies amabilis,Douglas ex J. Forbes,Abies amabilis,(Douglas ex Loudon) J.Forbes,1,Pinales,Pinaceae,Abies,,,,,amabilis,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/325658-2,http://plantsoftheworldonline.org/taxon/325658-2,https://ipni.org/n/325658-2,,,,,W N America,7,N America,,,,11,0,0,7,0,0,5,0,0,8,0,0,,,,,,,,,,Tree,NA,86.69076923,NA,42.27712579,NA,50.14852174,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,261486-1,Abies cephalonica Loudon,Abies cephalonica,Loudon,Abies cephalonica,Loudon,1,Pinales,Pinaceae,Abies,,,,,cephalonica,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/261486-1,http://plantsoftheworldonline.org/taxon/261486-1,https://ipni.org/n/261486-1,,Neo-natd,AN,Neo,Greece,1,Europe,,,,11,0,0,6,0,0,1,0,0,9,0,0,21,Loudon,1126687,3832,Least Concern,,3.1,Stable,Global & Europe,Tree,NA,6.530925693,NA,71.43,NA,25.875,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1030488-2,Abies fraseri (Pursh) Poir.,Abies fraseri,(Pursh) Poir.,Abies fraseri,(Pursh) Poir.,1,Pinales,Pinaceae,Abies,,,,,fraseri,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/1030488-2,http://plantsoftheworldonline.org/taxon/1030488-2,https://ipni.org/n/1030488-2,,Neo-surv,AN,Neo,E N America,7,N America,,,,2,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,Tree,NA,6.071,NA,7.202711808,22.80183633,20.1384,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1033427-2,Abies grandis (Douglas ex D. Don) Lindl.,Abies grandis,(Douglas ex D. Don) Lindl.,Abies grandis,(Douglas ex D.Don) Lindl.,1,Pinales,Pinaceae,Abies,,,,,grandis,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/1033427-2,http://plantsoftheworldonline.org/taxon/1033427-2,https://ipni.org/n/1033427-2,,Neo-surv,AN,Neo,W N America,7,N America,phanerophyte,,,567,73,0,327,11,0,268,35,0,436,40,0,840,,,,,,,,,Tree,NA,11.0563714,NA,22.44465458,59.856,27.37364286,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,261599-1,Abies nordmanniana (Steven) Spach,Abies nordmanniana,(Steven) Spach,Abies nordmanniana,(Steven) Spach,1,Pinales,Pinaceae,Abies,,,,,nordmanniana,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/261599-1,http://plantsoftheworldonline.org/taxon/261599-1,https://ipni.org/n/261599-1,,Neo-surv,AN,Neo,Caucasus,"1, 3","Europe, Asia",,,,147,18,0,26,0,0,29,7,0,124,10,0,191,,,,,,,,,Tree,NA,NA,NA,77.41835694,NA,48.96,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,676607-1,Abies procera Rehder,Abies procera,Rehder,Abies procera,Rehder,1,Pinales,Pinaceae,Abies,,,,,procera,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/676607-1,http://plantsoftheworldonline.org/taxon/676607-1,https://ipni.org/n/676607-1,,Neo-surv,AN,Neo,W N America,7,N America,,,,444,101,1,202,12,0,183,80,0,354,36,1,693,,,,,,,,,Tree,NA,13.41314934,NA,33.55245531,NA,54.49635714,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1044174-2,Abutilon theophrasti Medik.,Abutilon theophrasti,Medik.,Abutilon theophrasti,Medik.,1,Malvales,Malvaceae,Abutilon,,,,,theophrasti,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/1044174-2,http://plantsoftheworldonline.org/taxon/1044174-2,https://ipni.org/n/1044174-2,,Neo-casual,AC,Neo-casual,SE Europe,1,Europe,therophyte,therophyte,,45,5,0,58,0,0,22,2,0,25,3,0,150,,,,,,,,,Herb,NA,26.36373109,NA,8.7972,NA,1.35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,470873-1,Acacia melanoxylon R. Br,Acacia melanoxylon,R. Br,Acacia melanoxylon,R.Br.,1,Fabales,Fabaceae,Acacia,,,,,melanoxylon,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/470873-1,http://plantsoftheworldonline.org/taxon/470873-1,https://ipni.org/n/470873-1,,Neo-natd,AN,Neo-natd,Australia,5,Australasia,phanerophyte,phanerophyte,,6,0,0,1,0,0,2,0,0,5,0,0,6,,,,,,,,,Shrub,NA,16.00556778,0.315110715,12.64666771,1573.245143,25.526,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S/CSR
,60466122-2,Acaena anserinifolia (J.R. & G. Forst.) Druce,Acaena anserinifolia,(J.R. & G. Forst.) Druce,Acaena anserinifolia,(J.R.Forst. & G.Forst.) J.B.Armstr.,1,Rosales,Rosaceae,Acaena,,,,,anserinifolia,,,,SPECIES,Accepted,,,,,https://wcvp.science.kew.org/taxon/60466122-2,http://plantsoftheworldonline.org/taxon/60466122-2,https://ipni.org/n/60466122-2,,Neo-natd,AN,Neo-natd,New Zealand,5,Australasia,,,,41,6,0,10,2,0,14,3,0,32,4,0,85,,,,,,,,,Herb,NA,24.45398604,NA,1.26,82.4,0.154166667,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
