kew_id,taxon_name_Stace,LIST,TAXONCITED,ACCEPTEDNAME,RK,2N/N,chromosome_count_2n,notes,unambiguous_match,matched_by_cit.,matched_by_acc.,match_to_subsp_etc.
77067622-1,Achillea maritima,Achillea maritima (L.) Ehrhend. & Y.P. Guo,Diotis maritima (L.) Sm.,Achillea maritima (L.) Ehrend. & Y-P.Guo,34,2n=18,18,,n,n,y,n
316550-2,Agrimonia eupatoria,Agrimonia eupatoria L.,Agrimonia eupatoria var. sepium Bréb.,Agrimonia eupatoria L.,37,2n=28,28,,n,n,y,n
385537-1,Agrostis canina,Agrostis canina L.,Agrostis canina ssp. canina ,Agrostis canina L.,36,2n=14,14,,n,n,y,n
385537-1,Agrostis canina,Agrostis canina L.,Agrostis canina ssp. canina var. fascicularis ,Agrostis canina L.,37,2n=14,14,,n,n,y,n
30197865-2,Agrostis capillaris,Agrostis capillaris L.,Agrostis tenuis Sibth.,Agrostis capillaris L.,34,2n=28 +0-1s,,28 +0-1s,n,n,y,n
30197865-2,Agrostis capillaris,Agrostis capillaris L.,Agrostis tenuis Sibth.,Agrostis capillaris L.,34,2n=28,28,,n,n,y,n
30197865-2,Agrostis capillaris,Agrostis capillaris L.,Agrostis tenuis Sibth.,Agrostis capillaris L.,34,2n=28,28,,n,n,y,n
385626-1,Agrostis curtisii,Agrostis curtisii Kerguélen,"Agrostis setacea Curtis, non Vill.",Agrostis curtisii Kerguélen,34,2n=14,14,,n,n,y,n
385626-1,Agrostis curtisii,Agrostis curtisii Kerguélen,"Agrostis setacea Curtis, non Vill.",Agrostis curtisii Kerguélen,34,2n=14,14,,n,n,y,n
385626-1,Agrostis curtisii,Agrostis curtisii Kerguélen,"Agrostis setacea Curtis, non Vill.",Agrostis curtisii Kerguélen,34,2n=14,14,,n,n,y,n
385783-1,Agrostis gigantea,Agrostis gigantea Roth,Agrostis nigra With.,Agrostis gigantea Roth,34,2n=42,42,,n,n,y,n
386503-1,Agrostis vinealis,Agrostis vinealis Schreb.,Agrostis canina ssp. montana (Hartm.) Hartm.,Agrostis vinealis Schreb.,36,2n=28+0-2s,,28+0-2s,n,n,y,n
386503-1,Agrostis vinealis,Agrostis vinealis Schreb.,Agrostis canina ssp. montana (Hartm.) Hartm.,Agrostis vinealis Schreb.,36,2n=28,28,,n,n,y,n
386503-1,Agrostis vinealis,Agrostis vinealis Schreb.,Agrostis canina ssp. montana (Hartm.) Hartm.,Agrostis vinealis Schreb.,36,2n=28,28,,n,n,y,n
386503-1,Agrostis vinealis,Agrostis vinealis Schreb.,Agrostis canina ssp. montana (Hartm.) Hartm.,Agrostis vinealis Schreb.,36,2n=28,28,,n,n,y,n
386503-1,Agrostis vinealis,Agrostis vinealis Schreb.,Agrostis canina ssp. montana (Hartm.) Hartm.,Agrostis vinealis Schreb.,36,2n=28,28,,n,n,y,n
