kew_id,Number,PrimeValue,EntryNumberQualifier,taxon_name,taxon_name_Stace,authors_Stace,Full name,pg_2C,pg_1C,Mbp_2C,Mbp_1C,PublishedPloidyLevel,AcceptedPloidyLevel,PloidyFootnoteID,PublishedChromosomeNumber,AcceptedChromosomeNumber,ChromosomeFootnoteID,Lifecycle,NewAPGFamily,Order,HigherGroup,EstimationMethod,Standard species,Reference,Highest level,Peridophyte Group,from GB material,DB
60468511-2,,,,Abies alba Mill.,Abies alba,Mill.,Abies alba,34.65071575,17.32535787,16944.2,8472.1,,,,,,,,Pinaceae,Pinales,,,,,Gymnosperm,,NA,C-ValueDB
261486-1,,,,Abies cephalonica Loudon,Abies cephalonica,Loudon,Abies cephalonica,36.27402863,18.13701431,17738,8869,,,,,,,,Pinaceae,Pinales,,,,,Gymnosperm,,NA,C-ValueDB
1030488-2,,,,Abies fraseri (Pursh) Poir.,Abies fraseri,(Pursh) Poir.,Abies fraseri,34.47034765,17.23517382,16856,8428,,,,,,,,Pinaceae,Pinales,,,,,Gymnosperm,,NA,C-ValueDB
261599-1,,,,Abies nordmanniana (Steven) Spach,Abies nordmanniana,(Steven) Spach,Abies nordmanniana,35.27198364,17.63599182,17248,8624,,,,,,,,Pinaceae,Pinales,,,,,Gymnosperm,,NA,C-ValueDB
1044174-2,375,TRUE,a,Abutilon theophrasti Medik.,Abutilon theophrasti,Medik.,Abutilon theophrasti,2.8,1.4,1372,686,6,6,,42,42,,A,Malvaceae,Malvales,E,Fe,Hordeum vulgare cv. 'Sultan',"Bennett MD, Leitch IJ, Hanson L.  1998.  DNA amounts in two samples of angiosperm weeds.  Annals of Botany 82 (Supplement A): 121-134.",Angiosperm,,n,C-ValueDB
470873-1,692,TRUE,a,Acacia melanoxylon R. Br,Acacia melanoxylon,R. Br,Acacia melanoxylon,1.59,0.795,779.1,389.55,2,2,,26,26,,P,Fabaceae,Fabales,E,FC:EB,Petunia hybrida cv. 'PxPc6',"Coulaud J, Brown SC, Siljak-Yakovlev S. 1995. First cytogenetic investigation in populations of Acacia heterophylla, endemic from La Réunion island, with reference to A. melanoxylon. Annals of Botany 75: 95-100.",Angiosperm,,n,C-ValueDB
44892-1,675,TRUE,a,Acanthus mollis L.,Acanthus mollis,L.,Acanthus mollis,1.948979592,0.974489796,955,477.5,,,p,,,n,P,Acanthaceae,Lamiales,E,FC:PI,Carex acutiformis,"Veselý P, Bureš P, Šmarda P., Pavlicek T. 2012. Genome size and DNA base composition of geophytes: the mirror of phenology and ecology? Annals of Botany 109: 65-75.",Angiosperm,,n,C-ValueDB
781250-1,634,TRUE,a2,Acer campestre L.,Acer campestre,L.,Acer campestre,1.38,0.69,676.2,338.1,2,2,,26,26,,P,Sapindaceae,Sapindales,E,FC:PI,Petunia hybrida cv. 'PxPc6',"Siljak-Yakovlev S, Pustahija F, Šolic EM, Bogunic F, Muratovic E, Bašic N, Catrice O, Brown SC. 2010. Towards a genome size and chromosome number database of Balkan flora: C-values in 343 taxa with novel values for 242. Advanced Science Letters 3: 190-213",Angiosperm,,n,C-ValueDB
781250-1,634,TRUE,a4,Acer campestre L.,Acer campestre,L.,Acer campestre,2.7,1.35,1323,661.5,4,4,,52,52,,P,Sapindaceae,Sapindales,E,FC:PI,Petunia hybrida cv. 'PxPc6',"Siljak-Yakovlev S, Pustahija F, Šolic EM, Bogunic F, Muratovic E, Bašic N, Catrice O, Brown SC. 2010. Towards a genome size and chromosome number database of Balkan flora: C-values in 343 taxa with novel values for 242. Advanced Science Letters 3: 190-213",Angiosperm,,n,C-ValueDB
781412-1,563,TRUE,a,Acer negundo L.,Acer negundo,L.,Acer negundo,1.07,0.535,524.3,262.15,,,p,-,,n,P,Sapindaceae,Sapindales,E,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Loureiro J, Rodriguez E, Doležel J, Santos C. 2007. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of Botany 100: 875-888.",Angiosperm,,n,C-ValueDB
781455-1,634,TRUE,a,Acer platanoides L.,Acer platanoides,L.,Acer platanoides,1.42,0.71,695.8,347.9,2,2,,26,26,,P,Sapindaceae,Sapindales,E,FC:PI,Petunia hybrida cv. 'PxPc6',"Siljak-Yakovlev S, Pustahija F, Šolic EM, Bogunic F, Muratovic E, Bašic N, Catrice O, Brown SC. 2010. Towards a genome size and chromosome number database of Balkan flora: C-values in 343 taxa with novel values for 242. Advanced Science Letters 3: 190-213",Angiosperm,,n,C-ValueDB
781462-1,634,TRUE,anew,Acer pseudoplatanus L.,Acer pseudoplatanus,L.,Acer pseudoplatanus,2.7,1.35,1323,661.5,4,4,,52,52,,P,Sapindaceae,Sapindales,E,FC:PI,Petunia hybrida cv. 'PxPc6',"Siljak-Yakovlev S, Pustahija F, Šolic EM, Bogunic F, Muratovic E, Bašic N, Catrice O, Brown SC. 2010. Towards a genome size and chromosome number database of Balkan flora: C-values in 343 taxa with novel values for 242. Advanced Science Letters 3: 190-213",Angiosperm,,n,C-ValueDB
1892-2,721,TRUE,a,Acer saccharinum L.,Acer saccharinum,L.,Acer saccharinum,2.34,1.17,1146.6,573.3,,,p,,,n,P,Sapindaceae,Sapindales,E,FC:PI,Pisum sativum cv. 'Dwarf Gray Sugar',"Bai C, Alverson WS, Follansbee A, Waller DM. 2012.  New reports of nuclear DNA content for 407 U.S. plant species. Annals of Botany: 110:1623-1629",Angiosperm,,n,C-ValueDB
173943-1,326,TRUE,a,Achillea distans Waldst. & Kit. Ex Willd.,Achillea distans,Waldst. & Kit. Ex Willd.,Achillea distans,17.4,8.7,8526,4263,6,6,,54,54,,P,Asteraceae,Asterales,E,Fe,Allium cepa cv. 'Wolska',Dabrowska J.  1992.  Chromosome number and DNA content in taxa of Achillea L. in relation to the distribution of the genus.  Prace Botaniczne 49: 1-84.,Angiosperm,,n,C-ValueDB
173972-1,326,TRUE,a,Achillea filipendulina Lam.,Achillea filipendulina,Lam.,Achillea filipendulina,5.8,2.9,2842,1421,2,2,,18,18,,P,Asteraceae,Asterales,E,Fe,Allium cepa cv. 'Wolska',Dabrowska J.  1992.  Chromosome number and DNA content in taxa of Achillea L. in relation to the distribution of the genus.  Prace Botaniczne 49: 1-84.,Angiosperm,,n,C-ValueDB
77067622-1,814,TRUE,a2,Achillea maritima (L.) Ehrhend. & Y.P. Guo,Achillea maritima,(L.) Ehrhend. & Y.P. Guo,Achillea maritima,5.7,2.85,2793,1396.5,,,p,,,n,P,Asteraceae,Asterales,E,FC:PI,Pisum sativum cv. 'Express Long',"Bou Dagher-Kharrat M, Abdel-Samad N, Douaihy B, Bourge M, Fridlender A, Siljak-Yakovlev S, Brown SC. 2013.  Nuclear DNA C-values for biodiversity screening: Case of the Lebanese flora. Plant Biosystems 147: 1228-1237.",Angiosperm,,n,C-ValueDB
2294-2,776,TRUE,a4,Achillea millefolium L.,Achillea millefolium,L.,Achillea millefolium,9.75,4.875,4777.5,2388.75,4,4,z,36,36,o,P,Asteraceae,Asterales,E,FC:PI,Pisum sativum cv. 'Express Long',"Pustahija F, Brown SC, Bogunic F, Bašic N, Muratovic E, Ollier S, Hidalgo O, Bourge M, Stevanovic V, Sijak-Yakovev S. 2013.  Small genomes dominate in plants growing on serpentine soils in West Balkans, an exhaustive study of 8 habitats covering 308 taxa.",Angiosperm,,n,C-ValueDB
2294-2,158,TRUE,a,Achillea millefolium L.,Achillea millefolium,L.,Achillea millefolium,15.4,7.7,7546,3773,6,6,,54,54,,P,Asteraceae,Asterales,E,Fe,Senecio vulgaris (PBI population),"Mowforth MA.1986.  Variation in nuclear DNA amounts in flowering plants:  an ecological analysis. PhD. Thesis, University of Sheffield.  Specific reference for Poa annua in Mowforth MA and Grime JP.  1989.  Intra-Population Variation in Nuclear DNA Amount",Angiosperm,,y,C-ValueDB
2332-2,326,TRUE,a,Achillea nobilis L.,Achillea nobilis,L.,Achillea nobilis,5.4,2.7,2646,1323,2,2,,18,18,,P,Asteraceae,Asterales,E,Fe,Allium cepa cv. 'Wolska',Dabrowska J.  1992.  Chromosome number and DNA content in taxa of Achillea L. in relation to the distribution of the genus.  Prace Botaniczne 49: 1-84.,Angiosperm,,n,C-ValueDB
2336-2,326,TRUE,a,Achillea ptarmica L.,Achillea ptarmica,L.,Achillea ptarmica,5.8,2.9,2842,1421,2,2,,18,18,,P,Asteraceae,Asterales,E,Fe,Allium cepa cv. 'Wolska',Dabrowska J.  1992.  Chromosome number and DNA content in taxa of Achillea L. in relation to the distribution of the genus.  Prace Botaniczne 49: 1-84.,Angiosperm,,n,C-ValueDB
84009-1,829,TRUE,a,Acorus calamus L.,Acorus calamus,L.,Acorus calamus,1.086734694,0.543367347,532.5,266.25,4,4,z,36,36,o,P,Acoraceae,Acorales,M,FC:PI,Solanum lycopersicum 'Stupicke polni rane',"Šmarda P, Bureš P, Horová L, Leitch IJ, Mucina L, Pacini E, Tichý L, Grulich V, Rotreklová O. 2014.  Ecological and evolutionary significance of genomic GC content diversity in monocots. Proceedings of the National Academy of Sciences 111: E4096-E4102.",Angiosperm,,n,C-ValueDB
84019-1,272,TRUE,a,Acorus gramineus Aiton,Acorus gramineus,Aiton,Acorus gramineus,0.8,0.4,392,196,,,p,-,,n,P,Acoraceae,Acorales,M,FC:PI,Nicotiana tabacum cv. 'Xanthi',"Bharathan G, Lambert G, Galbraith DW. 1994. Nuclear DNA content of monocotyledons and related taxa. American Journal of Botany 81: 381-386.",Angiosperm,,n,C-ValueDB
325030-2,26,,,Adiantum capillus-veneris L.,Adiantum capillus-veneris,L.,Adiantum capillus-veneris,10.96,5.48,5370.4,2685.2,,,p,,,n,,Pteridaceae,,,FC:PI,Petunia,"Bou Dagher-Kharrat M, Abdel-Samad N, Douaihy B, Bourge M, Fridlender A, Siljak-Yakovlev S, Brown SC. 2013. Nuclear DNA C-values for biodiversity screening: Case of the Lebanese flora. Plant Biosystems 147: 1228-1237.",Peridophyte,Ferns,n,C-ValueDB
708062-1,466,TRUE,a,Adonis annua L.,Adonis annua,L.,Adonis annua,33.7,16.85,16513,8256.5,,,p,-,,n,A,Ranunculaceae,Ranunculales,E,FC:PI,Agave americana,"Zonneveld BJM, Leitch IJ, Bennett MD. 2005. First nuclear DNA amounts in more than 300 angiosperms. Annals of Botany 96: 229-244",Angiosperm,,n,C-ValueDB
148240-1,100,TRUE,a,Adoxa moschatellina L.,Adoxa moschatellina,L.,Adoxa moschatellina,28.6,14.3,14014,7007,4,4,,36,36,,P,Adoxaceae,Dipsacales,E,Fe,Allium cepa cv. 'Ailsa Craig',"Greilhuber J. 1979. C-band distribution, DNA content and base composition in Adoxa moschatellina (Adoxaceae), a plant with cold sensitive chromosome segments. Plant Systematics and Evolution 131: 243-259.",Angiosperm,,n,C-ValueDB
781594-1,465,TRUE,a,Aesculus hippocastanum L.,Aesculus hippocastanum,L.,Aesculus hippocastanum,1.2,0.6,588,294,2,2,,40,40,,P,Sapindaceae,Sapindales,E,FC:PI,Solanum lycopersicum cv 'Gardeners Delight',"Hanson L, Leitch IJ, Bennett MD. Unpublished data from the Jodrell Laboratory, Royal Botanic Gardens, Kew",Angiosperm,,n,C-ValueDB
319063-2,222,TRUE,a2,Agave americana L.,Agave americana,L.,Agave americana,6.2,3.1,3038,1519,2,2,,60,60,,P,Asparagaceae,Asparagales,M,Fe,Agave angustifolia,"Banerjee S, Sharma AK. 1987. Cytophotometric estimation of nuclear DNA in different species and varieties of Agave. Cytologia 52: 85-90.",Angiosperm,,n,C-ValueDB
319063-2,829,TRUE,a4,Agave americana L.,Agave americana,L.,Agave americana,14.48061224,7.240306122,7095.5,3547.75,4,4,z,120,120,o,P,Asparagaceae,Asparagales,M,FC:PI,Pisum sativum cv. 'Ctirad',"Šmarda P, Bureš P, Horová L, Leitch IJ, Mucina L, Pacini E, Tichý L, Grulich V, Rotreklová O. 2014.  Ecological and evolutionary significance of genomic GC content diversity in monocots. Proceedings of the National Academy of Sciences 111: E4096-E4102.",Angiosperm,,n,C-ValueDB
316550-2,776,TRUE,a,Agrimonia eupatoria L.,Agrimonia eupatoria,L.,Agrimonia eupatoria,2.97,1.485,1455.3,727.65,,,p,"28,56",,o,P,Rosaceae,Rosales,E,FC:PI,Solanum lycopersicum cv. 'Montfavet',"Pustahija F, Brown SC, Bogunic F, Bašic N, Muratovic E, Ollier S, Hidalgo O, Bourge M, Stevanovic V, Sijak-Yakovev S. 2013.  Small genomes dominate in plants growing on serpentine soils in West Balkans, an exhaustive study of 8 habitats covering 308 taxa.",Angiosperm,,n,C-ValueDB
150316-1,156,TRUE,a,Agrostemma githago L.,Agrostemma githago,L.,Agrostemma githago,4.2,2.1,2058,1029,,,p,-,,n,A,Caryophyllaceae,Caryophyllales,E,Fe,Allium cepa cv. 'Ailsa Craig',"Olszewska MJ, Osiecka R. 1983 Relationship between 2C DNA content, life-cycle, systematic position of DNA endoreplication dynamics in parenchyma nuclei during growth & differentiation of roots in dicot herbaceous sp. Biochem Physiol  Pflanzen 178: 581-599",Angiosperm,,n,C-ValueDB
385537-1,154,TRUE,a,Agrostis canina L.,Agrostis canina,L.,Agrostis canina,6.8,3.4,3332,1666,,,p,-,,n,P,Poaceae,Poales,M,Fe,Senecio vulgaris (PBI population),Band SR. (pers. comm. 1984).,Angiosperm,,y,C-ValueDB
30197865-2,158,TRUE,a4*,Agrostis capillaris L.,Agrostis capillaris,L.,Agrostis capillaris,7,3.5,3430,1715,4,4,,28,28,,P,Poaceae,Poales,M,Fe,Senecio vulgaris (PBI population),"Mowforth MA.1986.  Variation in nuclear DNA amounts in flowering plants:  an ecological analysis. PhD. Thesis, University of Sheffield.  Specific reference for Poa annua in Mowforth MA and Grime JP.  1989.  Intra-Population Variation in Nuclear DNA Amount",Angiosperm,,y,C-ValueDB
271894-2,164,TRUE,a,Agrostis castellana Boiss. & Reut.,Agrostis castellana,Boiss. & Reut.,Agrostis castellana,10.4,5.2,5096,2548,,,p,-,,n,P,Poaceae,Poales,M,Fe,Hordeum vulgare cv. 'Sultan',"Bennett MD, Smith JB.  (pers. comm.) Unpublished data obtained at the Plant Breeding Institute, Cambridge, UK, 1986 - 1987. ",Angiosperm,,y,C-ValueDB
385783-1,721,TRUE,a,Agrostis gigantea Roth,Agrostis gigantea,Roth,Agrostis gigantea,1.5,0.75,735,367.5,,,p,,,n,P,Poaceae,Poales,M,FC:PI,Pisum sativum cv. 'Dwarf Gray Sugar',"Bai C, Alverson WS, Follansbee A, Waller DM. 2012.  New reports of nuclear DNA content for 407 U.S. plant species. Annals of Botany: 110:1623-1629",Angiosperm,,n,C-ValueDB
386353-1,154,TRUE,a,Agrostis stolonifera L.,Agrostis stolonifera,L.,Agrostis stolonifera,7,3.5,3430,1715,,,p,-,,n,P,Poaceae,Poales,M,Fe,Senecio vulgaris (PBI population),Band SR. (pers. comm. 1984).,Angiosperm,,y,C-ValueDB
386503-1,133,TRUE,a,Agrostis vinealis Schreb.,Agrostis vinealis,Schreb.,Agrostis vinealis,7,3.5,3430,1715,,,p,-,,n,P,Poaceae,Poales,M,Fe,Senecio vulgaris (PBI population),"Grime JP,  Shacklock JML, Band SR. 1985. Nuclear DNA contents, shoot phenology and species co-existence in a limestone grassland community. New Phytologist 100: 435-445.",Angiosperm,,y,C-ValueDB
813521-1,776,TRUE,a,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,(Mill.) Swingle,Ailanthus altissima,2.08,1.04,1019.2,509.6,,,p,"28,56,80",,o,P,Simaroubaceae,Sapindales,E,FC:PI,Petunia hybrida cv. 'PxPc6',"Pustahija F, Brown SC, Bogunic F, Bašic N, Muratovic E, Ollier S, Hidalgo O, Bourge M, Stevanovic V, Sijak-Yakovev S. 2013.  Small genomes dominate in plants growing on serpentine soils in West Balkans, an exhaustive study of 8 habitats covering 308 taxa.",Angiosperm,,n,C-ValueDB
386633-1,73,TRUE,a,Aira caryophyllea L.,Aira caryophyllea,L.,Aira caryophyllea,12,6,5880,2940,4,4,,28,28,,A,Poaceae,Poales,M,Fe,Allium cepa cv. 'Ailsa Craig',Albers F. 1980. Comparative karyology of the grass subtribes Aristaveninae and Airinae (Poaceae - Aveneae). Plant Systematics and Evolution 136: 137-167.,Angiosperm,,n,C-ValueDB
386818-1,73,TRUE,a,Aira praecox L.,Aira praecox,L.,Aira praecox,5.8,2.9,2842,1421,2,2,,14,14,,A,Poaceae,Poales,M,Fe,Allium cepa cv. 'Ailsa Craig',Albers F. 1980. Comparative karyology of the grass subtribes Aristaveninae and Airinae (Poaceae - Aveneae). Plant Systematics and Evolution 136: 137-167.,Angiosperm,,n,C-ValueDB
1047073-2,269.04,TRUE,a,Alisma lanceolatum With.,Alisma lanceolatum,With.,Alisma lanceolatum,36.6,18.3,17934,8967,,,p,26,26,,P,Alismataceae,Alismatales,M,Fe,Allium cepa cv. 'Ailsa Craig',"Baum A, Kenton AY, Bennett MD. (pers. comm. 1989).",Angiosperm,,y,C-ValueDB
30019518-2,829,TRUE,a,Alisma plantago-aquatica L.,Alisma plantago-aquatica,L.,Alisma plantago-aquatica,18.86734694,9.433673469,9245,4622.5,2,2,z,14,14,o,P,Alismataceae,Alismatales,M,FC:PI,Vicia faba cv. 'Inovec',"Šmarda P, Bureš P, Horová L, Leitch IJ, Mucina L, Pacini E, Tichý L, Grulich V, Rotreklová O. 2014.  Ecological and evolutionary significance of genomic GC content diversity in monocots. Proceedings of the National Academy of Sciences 111: E4096-E4102.",Angiosperm,,n,C-ValueDB
30019518-2,269.04,TRUE,a4,Alisma plantago-aquatica L.,Alisma plantago-aquatica,L.,Alisma plantago-aquatica,33,16.5,16170,8085,,,p,26,26,,P,Alismataceae,Alismatales,M,Fe,Zea mays subsp. mays Va35,"Baum A, Kenton AY, Bennett MD. (pers. comm. 1989).",Angiosperm,,y,C-ValueDB
1176324-2,492,TRUE,a,Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,(M. Bieb.) Cavara & Grande,Alliaria petiolata,2.7,1.35,1323,661.5,,,p,-,,n,B,Brassicaceae,Brassicales,E,FC:PI,Standard is given in the paper - but measured against a different callibration value,"Barow M, Meister A. 2003. Endopolyploidy in seed plants is differently correlated to systematics, organ, life strategy and genome size. Plant Cell and Environment 26: 571-584.",Angiosperm,,n,C-ValueDB
332079-2,299,TRUE,anew,Allium ampeloprasum L.,Allium ampeloprasum,L.,Allium ampeloprasum,60,30,29400,14700,4,4,z,32,32,o,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Zwaans Grosse Winter',"Ohri D, Fritsch R, Hanelt P. (pers. comm. 1996).",Angiosperm,,n,C-ValueDB
527777-1,80,TRUE,a2*,Allium carinatum L.,Allium carinatum,L.,Allium carinatum,22.4,11.2,10976,5488,2,2,z,16,16,o,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Ailsa Craig',"Bosen H, Nagl W. 1978. Short duration of mitotic and endomitotic cell cycle in heterochromatin-rich monocot Allium carinatum. Cell Biology International Reports 2: 565-571.",Angiosperm,,n,C-ValueDB
527777-1,81,TRUE,a3,Allium carinatum L.,Allium carinatum,L.,Allium carinatum,32.6,16.3,15974,7987,3,3,,24,24,,P,Amaryllidaceae,Asparagales,M,-,Solanum pseudocapsicum,"Nagl W, Fusenig HP. 1979. Types of chromatin organization in plant nuclei. Plant Systematics and Evolution Suppl. 2: 221-233.",Angiosperm,,n,C-ValueDB
527795-1,6,TRUE,a,Allium cepa L.,Allium cepa,L.,Allium cepa,35.8,17.9,17542,8771,2,2,z,16,16,o,P,Amaryllidaceae,Asparagales,M,Ch,No Internal Standard due to the method used,Van't Hof J. 1965. Relationships between mitotic cycle duration S period duration and average rate of DNA synthesis in root meristem cells of several plants. Experimental Cell Research 39: 48-58.,Angiosperm,,n,C-ValueDB
528431-1,299,TRUE,a,Allium moly L.,Allium moly,L.,Allium moly,50,25,24500,12250,2,2,z,14,14,o,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Zwaans Grosse Winter',"Ohri D, Fritsch R, Hanelt P. (pers. comm. 1996).",Angiosperm,,n,C-ValueDB
528470-1,5,TRUE,a,Allium neapolitanum Cirillo,Allium neapolitanum,Cirillo,Allium neapolitanum,31.2,15.6,15288,7644,2,2,,14,14,,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Ailsa Craig',"Jones RN, Rees H. 1968. Nuclear DNA variation in Allium. Heredity 23: 591-605.",Angiosperm,,y,C-ValueDB
528486-1,709,TRUE,a,Allium nigrum L.,Allium nigrum,L.,Allium nigrum,54.81,27.405,26856.9,13428.45,2,2,z,16,16,o,P,Amaryllidaceae,Asparagales,M,FC:PI,Vicia faba cv. 'Tinova',"Gurushidze M, Fuchs J, Blattner FR. 2012.  The evolution of genome size variation in drumstick onions (Allium subgenus Melanocrommyum). Systematic Botany 37: 96-104.",Angiosperm,,n,C-ValueDB
528525-1,336,TRUE,a5,Allium oleraceum L.,Allium oleraceum,L.,Allium oleraceum,60.38,30.19,29586.2,14793.1,5,5,,40,40,,P,Amaryllidaceae,Asparagales,M,Fe,Vicia faba Unclear cultivar but known value,"Baranyi M, Greilhuber J.  1999.  Genome size in Allium: In quest of reproducible data.  Annals of Botany 83: 687-695.",Angiosperm,,n,C-ValueDB
528525-1,743,TRUE,a3,Allium oleraceum L.,Allium oleraceum,L.,Allium oleraceum,42.49,21.245,20820.1,10410.05,3,3,,24,24,,P,Amaryllidaceae,Asparagales,M,FC:PI,Triticum aestivum cv. 'Saxana',"Duchoslav M, Šafá?ová L, Jandová M. 2013. Role of adaptive and non-adaptive mechanisms forming complex patterns of genome size variation in six cytotypes of polyploid Allium oleraceum (Amaryllidaceae) on a continental scale. Annals of Botany 111: 419-431.",Angiosperm,,n,C-ValueDB
528525-1,743,TRUE,a4,Allium oleraceum L.,Allium oleraceum,L.,Allium oleraceum,52.14,26.07,25548.6,12774.3,4,4,,32,32,,P,Amaryllidaceae,Asparagales,M,FC:PI,Triticum aestivum cv. 'Saxana',"Duchoslav M, Šafá?ová L, Jandová M. 2013. Role of adaptive and non-adaptive mechanisms forming complex patterns of genome size variation in six cytotypes of polyploid Allium oleraceum (Amaryllidaceae) on a continental scale. Annals of Botany 111: 419-431.",Angiosperm,,n,C-ValueDB
528525-1,743,TRUE,a6,Allium oleraceum L.,Allium oleraceum,L.,Allium oleraceum,71.94,35.97,35250.6,17625.3,6,6,,48,48,,P,Amaryllidaceae,Asparagales,M,FC:PI,Triticum aestivum cv. 'Saxana',"Duchoslav M, Šafá?ová L, Jandová M. 2013. Role of adaptive and non-adaptive mechanisms forming complex patterns of genome size variation in six cytotypes of polyploid Allium oleraceum (Amaryllidaceae) on a continental scale. Annals of Botany 111: 419-431.",Angiosperm,,n,C-ValueDB
528525-1,743,TRUE,a7,Allium oleraceum L.,Allium oleraceum,L.,Allium oleraceum,85.51,42.755,41899.9,20949.95,7,7,,56,56,,P,Amaryllidaceae,Asparagales,M,FC:PI,Triticum aestivum cv. 'Saxana',"Duchoslav M, Šafá?ová L, Jandová M. 2013. Role of adaptive and non-adaptive mechanisms forming complex patterns of genome size variation in six cytotypes of polyploid Allium oleraceum (Amaryllidaceae) on a continental scale. Annals of Botany 111: 419-431.",Angiosperm,,n,C-ValueDB
528525-1,743,TRUE,a8,Allium oleraceum L.,Allium oleraceum,L.,Allium oleraceum,92.12,46.06,45138.8,22569.4,8,8,,64,64,,P,Amaryllidaceae,Asparagales,M,FC:PI,Triticum aestivum cv. 'Saxana',"Duchoslav M, Šafá?ová L, Jandová M. 2013. Role of adaptive and non-adaptive mechanisms forming complex patterns of genome size variation in six cytotypes of polyploid Allium oleraceum (Amaryllidaceae) on a continental scale. Annals of Botany 111: 419-431.",Angiosperm,,n,C-ValueDB
528578-1,299,TRUE,a,Allium paradoxum (M. Bieb.) G. Don,Allium paradoxum,(M. Bieb.) G. Don,Allium paradoxum,53.6,26.8,26264,13132,2,2,z,16,16,o,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Zwaans Grosse Winter',"Ohri D, Fritsch R, Hanelt P. (pers. comm. 1996).",Angiosperm,,n,C-ValueDB
528600-1,675,TRUE,a,Allium pendulinum Ten.,Allium pendulinum,Ten.,Allium pendulinum,37.74693878,18.87346939,18496,9248,,,p,,,n,P,Amaryllidaceae,Asparagales,M,FC:PI,Vicia faba cv. 'Inovec',"Veselý P, Bureš P, Šmarda P., Pavlicek T. 2012. Genome size and DNA base composition of geophytes: the mirror of phenology and ecology? Annals of Botany 109: 65-75.",Angiosperm,,n,C-ValueDB
528646-1,63,TRUE,a,Allium porrum L.,Allium porrum,L.,Allium porrum,58.6,29.3,28714,14357,4,4,,32,32,,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Ailsa Craig',Murin A. 1976. Polyploidy and mitotic cycle. Nucleus 19: 192-195.,Angiosperm,,n,C-ValueDB
528746-1,5,TRUE,a,Allium roseum L.,Allium roseum,L.,Allium roseum,20.4,10.2,9996,4998,2,2,,16,16,,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Ailsa Craig',"Jones RN, Rees H. 1968. Nuclear DNA variation in Allium. Heredity 23: 591-605.",Angiosperm,,n,C-ValueDB
528796-1,299,TRUE,a,Allium sativum L.,Allium sativum,L.,Allium sativum,32.4,16.2,15876,7938,2,2,z,16,16,o,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Zwaans Grosse Winter',"Ohri D, Fritsch R, Hanelt P. (pers. comm. 1996).",Angiosperm,,n,C-ValueDB
528823-1,191,TRUE,a4,Allium schoenoprasum L.,Allium schoenoprasum,L.,Allium schoenoprasum,26.8,13.4,13132,6566,4,4,,32,32,,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Ailsa Craig',"Labani RM, Elkington TT. 1987. Nuclear DNA variation in the genus Allium L. (Liliaceae). Heredity 59: 119-128.",Angiosperm,,n,C-ValueDB
528823-1,5,TRUE,a2*,Allium schoenoprasum L.,Allium schoenoprasum,L.,Allium schoenoprasum,16.8,8.4,8232,4116,2,2,,16,16,,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Ailsa Craig',"Jones RN, Rees H. 1968. Nuclear DNA variation in Allium. Heredity 23: 591-605.",Angiosperm,,y,C-ValueDB
528834-1,299,TRUE,a,Allium scorodoprasum L.,Allium scorodoprasum,L.,Allium scorodoprasum,47.2,23.6,23128,11564,3,3,z,24,24,o,P,Amaryllidaceae,Asparagales,M,Fe,Allium cepa cv. 'Zwaans Grosse Winter',"Ohri D, Fritsch R, Hanelt P. (pers. comm. 1996).",Angiosperm,,n,C-ValueDB
528868-1,336,TRUE,a,Allium siculum Ucria,Allium siculum,Ucria,Allium siculum,70.84,35.42,34711.6,17355.8,2,2,,18,18,,P,Amaryllidaceae,Asparagales,M,Fe,Vicia faba Unclear cultivar but known value,"Baranyi M, Greilhuber J.  1999.  Genome size in Allium: In quest of reproducible data.  Annals of Botany 83: 687-695.",Angiosperm,,n,C-ValueDB
