kew_id,taxon_name,taxon_name_binom,authors,MSB_number,standard_species,standard_2C_pg,buffer,buffer_composition,buffer_origin,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,cv_sample,cv_standard,matched_by_synonym,cited_name
781250-1,Acer campestre L.,Acer campestre,L.,,Petroselinum crispum (Mill.) Nyman ex A.W.Hill “Champion Moss Curled”,4.5,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",1.62,0.81,1580.79,790.39,2.943333333,2.703333333,,
325030-2,Adiantum capillus-veneris L.,Adiantum capillus-veneris,L.,,Petroselinum crispum (Mill.) Nyman ex A.W.Hill “Champion Moss Curled”,4.5,Ebihara,Na2SO3 50mM - Tris-HCl 50mM - Triton X-100 1% - PVP40 - beta-Mercaptoethanol,"Ebihara, A. et al. Nuclear DNA, chloroplast DNA, and ploidy analysis clarified biological complexity of the Vandenboschia radicans complex (Hymenophyllaceae) in Japan and adjacent areas. American Journal of Botany, 92(9), 1535-1547 (2005).",11.81,5.91,11552.89,5776.45,3.6,2.913333333,,
813521-1,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,(Mill.) Swingle,,Petroselinum crispum (Mill.) Nyman ex A.W.Hill “Champion Moss Curled”,4.5,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",2.4,1.2,2344.27,1172.13,2.786666667,2.763333333,,
77120351-1,Alchemilla acutiloba Opiz,Alchemilla acutiloba,Opiz,109350,Petroselinum crispum (Mill.) Nyman ex A.W.Hill “Champion Moss Curled”,4.5,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",3.87,1.94,3786.19,1893.1,3.37,2.356666667,,
528894-1,Allium sphaerocephalon L.,Allium sphaerocephalon,L.,107091,Petroselinum crispum (Mill.) Nyman ex A.W.Hill “Champion Moss Curled”,4.5,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",30.75,15.38,30075.84,15037.92,2.91,3.99,,
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,954435,Petroselinum crispum (Mill.) Nyman ex A.W.Hill “Champion Moss Curled”,4.5,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",1.34,0.67,1314.6,657.3,4.756666667,1.21,,
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,,Solanum lycopersicum L. “Stupiké polní rané”,2,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",1.08,0.54,1057.04,528.52,3.206666667,3.606666667,,
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,,Solanum lycopersicum L. “Stupiké polní rané”,2,CyStain PI OxProtect,NA,https://eu.sysmex-flowcytometry.com/reagents/cystain-ploidy-dna-analysis/2964/cystain-pi-oxprotect?c=116,1.14,0.57,1115.24,557.62,2.216666667,3.116666667,,
177259-1,Anthemis cotula L.,Anthemis cotula,L.,897208,Pisum sativum L. “Ctirad”,9.09,General purpose buffer 3%PVPBmet,Spermine.4HCl 0.5mM - Sodium citrate 30mM - MOPS 20mM - KCl 80mM - NaCl 20mM - Triton X-100 0.5% - PVP 40 3% - beta-Mercaptoethanol,"Loureiro, J., Rodriguez, E., Doležel, J. and Santos, C. Two new nuclear isolation buffers for plant DNA flow cytometry: a test with 37 species. Annals of botany, 100(4), 875-888 (2007).",7.45,3.72,7284.73,3642.36,3.58,2.256666667,,
721514-1,Aphanes arvensis L.,Aphanes arvensis,L.,,Solanum lycopersicum L. “Stupiké polní rané”,2,Ebihara,Na2SO3 50mM - Tris-HCl 50mM - Triton X-100 1% - PVP40 - beta-Mercaptoethanol,"Ebihara, A. et al. Nuclear DNA, chloroplast DNA, and ploidy analysis clarified biological complexity of the Vandenboschia radicans complex (Hymenophyllaceae) in Japan and adjacent areas. American Journal of Botany, 92(9), 1535-1547 (2005).",0.83,0.42,815.2,407.6,4.996666667,4.166666667,y,Alchemilla arvensis
