kew_id,taxon_name_binom,authors,Full name,Author,taxon_name_auth,pg_2C,pg_1C,Mbp_2C,Mbp_1C,Mbp_1Cx,Ploidy,Chromosome_number_2n,GC_%,Locality,Latitude,Longitude,Altitude_m,Collector,FCM method,FCM standard,Sample/standard ratio with DAPI (mean),CV (%),sample/standard ratio with PI (mean),CV (%),mean DAPI/PI,CV (%),Data source,from GB material,DB
60468511-2,Abies alba,Mill.,Abies alba,Mill.,Abies alba Mill.,34.54,17.27,33783.36,16891.68,16891.68,2,24,43.47165243,"Czech Republic, Moravia, Kanice (distr. Brno-venkov): top of Hády hill, 1.4 km NE of the Hády broadcast transmitter, a group of young firs","49°13'37""N","16°41'31""E",400,O. Knápek,lh-3,V.f.,1.279429088,1.00199697,1.451619293,0.467733654,0.881380603,2.142238349,Šmarda et al. 2019,n,Šmarda et al. 2019
1044174-2,Abutilon theophrasti,Medik.,Abutilon theophrasti,Medik.,Abutilon theophrasti Medik.,1.9,0.95,1861.69,930.84,310.28,6,42,38.36877188,Cultivated in a private garden in Dolní Lhota near Stráž nad Nežárkou,"49°03'46.1""N","14°56'46.3""E",470,"P. Šmarda, O. Knápek & J. Navrátilová",lh-6,B.p.,0.639069448,0.632257248,0.60250964,0.884303351,1.060773246,1.508701728,Šmarda et al. 2019,n,Šmarda et al. 2019
781250-1,Acer campestre,L.,Acer campestre,L.,Acer campestre L.,1.25,0.62,1221.32,610.66,610.66,2,26,37.6678239,"Czech Republic, Moravia, Brno-?e?kovice (distr. Brno-m?sto): 700 m WNW of the church in the village, plantation along the Terezy Novákové street","49°15'10""N","16°34'21""E",308,P. Šmarda & A. B?ezinová,lh-1,L.e.,0.758356615,1.577450629,0.7197748,1.505879467,1.053596729,0.233180458,Šmarda et al. 2019,n,Šmarda et al. 2019
781412-1,Acer negundo,L.,Acer negundo,L.,Acer negundo L.,0.93,0.46,906.36,453.18,453.18,2,26,37.21123089,"Czech Republic, Moravia, Brno-Pisárky (distr. Brno-m?sto): 360 m SSW of sv. Antonín chapel (at the tramway track below Stránice), right bank of the Svratka river","49°11'45""N","16°33'59""E",206,O. Knápek,lh-3,L.e.,0.57540683,0.57853824,0.534158099,1.562040974,1.077333393,0.993903268,Šmarda et al. 2019,n,Šmarda et al. 2019
781455-1,Acer platanoides,L.,Acer platanoides,L.,Acer platanoides L.,1.27,0.63,1239.55,619.77,619.77,2,26,37.79960864,"Czech Republic, Moravia, Brno-?e?kovice (distr. Brno-m?sto): 700 m WNW of the church in the village, plantation along the Terezy Novákové street","49°15'10""N","16°34'21""E",308,P. Šmarda & A. B?ezinová,lh-1,L.e.,0.764613029,0.969211,0.730517643,1.914992271,1.04680081,0.957748432,Šmarda et al. 2019,n,Šmarda et al. 2019
781462-1,Acer pseudoplatanus,L.,Acer pseudoplatanus,L.,Acer pseudoplatanus L.,2.39,1.19,2336.28,1168.14,584.07,4,52,37.81531804,"Czech Republic, Moravia, Brno-?e?kovice (distr. Brno-m?sto): 530 m WNW of the church in the village, plantation along the Terezy Novákové street","49°15'08""N","16°34'29""E",307,P. Šmarda & A. B?ezinová,lh-1,L.e.,1.439749834,2.076393807,1.376868132,2.738728533,1.04599235,2.218642531,Šmarda et al. 2019,n,Šmarda et al. 2019
2332-2,Achillea nobilis,L.,Achillea nobilis,L.,Achillea nobilis L.,4.63,2.31,4523.38,2261.69,2261.69,2,18,40.15412537,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,O. Knápek,lh-1,P.s.,0.628134673,0.45448115,0.576868773,1.052745391,1.088914827,0.596345468,Šmarda et al. 2019,n,Šmarda et al. 2019
2336-2,Achillea ptarmica,L.,Achillea ptarmica,L.,Achillea ptarmica L.,6.23,3.11,6088.17,3044.08,3044.08,2,18,38.92098154,"Czech Republic, Bohemia, Vysoké nad Jizerou (distr. Semily): 1.1 km NW of the church in the town, wet meadow (Filipendulion)","50°41'25""N","15°23'21""E",650,P. Šmarda,lh-2,B.p.,2.033060299,1.511052249,1.970353449,1.037047418,1.0318386,1.251319788,Šmarda et al. 2019,n,Šmarda et al. 2019
707564-1,Aconitum lycoctonum,L.,Aconitum lycoctonum,L.,Aconitum lycoctonum L.,15.22,7.61,14889.1,7444.55,7444.55,2,16,43.12597567,"Hortus Botanicus T?ebo?, Czech Republic",,,,P. Šmarda & J. Navrátilová,lh-2,P.s.,1.763222327,0.159779164,1.898812605,1.678298995,0.92875104,1.529823677,Šmarda et al. 2019,n,Šmarda et al. 2019
84009-1,Acorus calamus,L.,Acorus calamus,L.,Acorus calamus L.,1.09,0.54,1064.53,532.27,354.84,3,36,39.33136153,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,,,L.e.,0.60830672,0.633681526,0.627374855,0.320120418,0.969623696,0.913254555,Šmarda et al. 2014,n,Šmarda et al. 2019
303913-2,Actaea spicata,L.,Actaea spicata,L.,Actaea spicata L.,19.4,9.7,18970.57,9485.28,9485.28,2,16,40.16678917,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,O. Knápek,lh-3,V.f.,0.858118482,0.247673736,0.815136272,0.31290181,1.052731674,0.092968117,Šmarda et al. 2019,n,Šmarda et al. 2019
148240-1,Adoxa moschatellina,L.,Adoxa moschatellina,L.,Adoxa moschatellina L.,25.63,12.81,25061.8,12530.9,6265.45,4,36,37.0540513,"Botanical Garden of the Faculty of Science, Masaryk University, Brno, Czech Republic",,,,A. B?ezinová,lh-1,H.a.,0.471204685,0.991194286,0.433282868,1.843367212,1.087873021,2.702588775,Šmarda et al. 2019,n,Šmarda et al. 2019
5849-2,Aegopodium podagraria,L.,Aegopodium podagraria,L.,Aegopodium podagraria L.,5.92,2.96,5785.31,2892.65,1446.33,4,42,37.52433149,"Czech Republic, Moravia, Brno-Nový Lískovec (distr. Brno-m?sto): 500 m NE of the Kamenný vrch lookout tower, Rybnická street, abandoned garden","49°10'57""N","16°33'46""E",258,O. Knápek,lh-1,B.p.,2.070607304,1.068525265,1.872336695,0.676706705,1.105894741,1.579007947,Šmarda et al. 2019,n,Šmarda et al. 2019
781594-1,Aesculus hippocastanum,L.,Aesculus hippocastanum,L.,Aesculus hippocastanum L.,1.03,0.52,1011.23,505.62,505.62,2,40,38.18123628,"Czech Republic, Moravia, Brno-?e?kovice (distr. Brno-m?sto): Žilkova street, cultivated tree","49°15'11.430""N","16°34'31.764""E",300,P. Šmarda,lh-1,L.e.,0.613697432,1.710854505,0.595961765,2.758896422,1.027260232,1.410244632,Šmarda et al. 2019,n,Šmarda et al. 2019
