kew_id,taxon_name,taxon_name_Stace,authors_Stace,Full name,pg_2C,pg_1C,Mbp_2C,Mbp_1C,PublishedPloidyLevel,PublishedChromosomeNumber,Locality,from GB material,DB
60468511-2,Abies alba Mill.,Abies alba,Mill.,Abies alba,35.5,17.75,34719,17359.5,2,24,Pinetum Blijdenstein,n,"Zonneveld, 2019"
1033427-2,Abies grandis (Douglas ex D. Don) Lindl.,Abies grandis,(Douglas ex D. Don) Lindl.,Abies grandis,35.1,17.55,34327.8,17163.9,2,24,Pinetum Blijdenstein,n,"Zonneveld, 2019"
261599-1,Abies nordmanniana (Steven) Spach,Abies nordmanniana,(Steven) Spach,Abies nordmanniana,35.2,17.6,34425.6,17212.8,1,24,Leiden,n,"Zonneveld, 2019"
676607-1,Abies procera Rehder,Abies procera,Rehder,Abies procera,34.4,17.2,33643.2,16821.6,1,24,NA,n,"Zonneveld, 2019"
44892-1,Acanthus mollis L.,Acanthus mollis,L.,Acanthus mollis,2.37,1.185,2317.86,1158.93,1,56,Leiden Apollolaan,n,"Zonneveld, 2019"
781250-1,Acer campestre L.,Acer campestre,L.,Acer campestre,1.4,0.7,1369.2,684.6,1,26,Leiden Kennedylaan,n,"Zonneveld, 2019"
781412-1,Acer negundo L.,Acer negundo,L.,Acer negundo,1.04,0.52,1017.12,508.56,2,26,BG Sittard,n,"Zonneveld, 2019"
781455-1,Acer platanoides L.,Acer platanoides,L.,Acer platanoides,1.45,0.725,1418.1,709.05,5,26,Leiden Schubertlaan,n,"Zonneveld, 2019"
781462-1,Acer pseudoplatanus L.,Acer pseudoplatanus,L.,Acer pseudoplatanus,2.78,1.39,2718.84,1359.42,2,52,Leiden Schubertlaan,n,"Zonneveld, 2019"
2336-2,Achillea ptarmica L.,Achillea ptarmica,L.,Achillea ptarmica,7.17,3.585,7012.26,3506.13,5,18,Leiden Schubertlaan,n,"Zonneveld, 2019"
707615-1,Aconitum napellus L.,Aconitum napellus,L.,Aconitum napellus,24.7,12.35,24156.6,12078.3,2,"(16, 24) 32",AGS,n,"Zonneveld, 2019"
325030-2,Adiantum capillus-veneris L.,Adiantum capillus-veneris,L.,Adiantum capillus-veneris,11.6,5.8,11344.8,5672.4,1,60,BG Leiden,n,"Zonneveld, 2019"
5849-2,Aegopodium podagraria L.,Aegopodium podagraria,L.,Aegopodium podagraria,6.82,3.41,6669.96,3334.98,6,"22, 42, 44",Leiden Brahmslaan,n,"Zonneveld, 2019"
781594-1,Aesculus hippocastanum L.,Aesculus hippocastanum,L.,Aesculus hippocastanum,1.22,0.61,1193.16,596.58,8,40,NA,n,"Zonneveld, 2019"
837341-1,Aethusa cynapium L.,Aethusa cynapium,L.,Aethusa cynapium,2.93,1.465,2865.54,1432.77,2,20,Groesbeek,n,"Zonneveld, 2019"
316550-2,Agrimonia eupatoria L.,Agrimonia eupatoria,L.,Agrimonia eupatoria,2.97,1.485,2904.66,1452.33,1,28,Leiden Cronesteyn,n,"Zonneveld, 2019"
720304-1,Agrimonia procera Wallr.,Agrimonia procera,Wallr.,Agrimonia procera,5.91,2.955,5779.98,2889.99,1,56,NA,n,"Zonneveld, 2019"
150316-1,Agrostemma githago L.,Agrostemma githago,L.,Agrostemma githago,4.2,2.1,4107.6,2053.8,1,48,Ht. Leiderdorp,n,"Zonneveld, 2019"
385537-1,Agrostis canina L.,Agrostis canina,L.,Agrostis canina,3.6,1.8,3520.8,1760.4,2,14,Eexterveld,n,"Zonneveld, 2019"
30197865-2,Agrostis capillaris L.,Agrostis capillaris,L.,Agrostis capillaris,7.07,3.535,6914.46,3457.23,6,28,Wassenaar,n,"Zonneveld, 2019"
385783-1,Agrostis gigantea Roth,Agrostis gigantea,Roth,Agrostis gigantea,13.2,6.6,12909.6,6454.8,4,42,Leiderdorp,n,"Zonneveld, 2019"
386353-1,Agrostis stolonifera L.,Agrostis stolonifera,L.,Agrostis stolonifera,10.3,5.15,10073.4,5036.7,2,28,NA,n,"Zonneveld, 2019"
386503-1,Agrostis vinealis Schreb.,Agrostis vinealis,Schreb.,Agrostis vinealis,6.86,3.43,6709.08,3354.54,4,,Ameland Ballum,n,"Zonneveld, 2019"
813521-1,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,(Mill.) Swingle,Ailanthus altissima,2.2,1.1,2151.6,1075.8,3,"64, 80",France,n,"Zonneveld, 2019"
386633-1,Aira caryophyllea L.,Aira caryophyllea,L.,Aira caryophyllea,12.7,6.35,12420.6,6210.3,1,"14, 28",Mulderskop,n,"Zonneveld, 2019"
386818-1,Aira praecox L.,Aira praecox,L.,Aira praecox,6.78,3.39,6630.84,3315.42,2,14,Ned n. c.,n,"Zonneveld, 2019"
444546-1,Ajuga chamaepitys (L.) Schreb.,Ajuga chamaepitys,(L.) Schreb.,Ajuga chamaepitys,2.29,1.145,2239.62,1119.81,1,28,BG Utrecht,n,"Zonneveld, 2019"
444657-1,Ajuga pyramidalis L.,Ajuga pyramidalis,L.,Ajuga pyramidalis,2.35,1.175,2298.3,1149.15,3,32,AGS,n,"Zonneveld, 2019"
558713-1,Alcea rosea L.,Alcea rosea,L.,Alcea rosea,2.62,1.31,2562.36,1281.18,2,26-56,Leiden Schubertlaan,n,"Zonneveld, 2019"
720496-1,Alchemilla acutiloba Opiz,Alchemilla acutiloba,Opiz,Alchemilla acutiloba,3.75,1.875,3667.5,1833.75,8,,Meppel,n,"Zonneveld, 2019"
720597-1,Alchemilla glabra Neygenf.,Alchemilla glabra,Neygenf.,Alchemilla glabra,3.79,1.895,3706.62,1853.31,1,,Nispen,n,"Zonneveld, 2019"
720776-1,Alchemilla mollis (Buser) Rothm.,Alchemilla mollis,(Buser) Rothm.,Alchemilla mollis,3.71,1.855,3628.38,1814.19,6,102-106,Suisse Wengen,n,"Zonneveld, 2019"
721091-1,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora,Rothm.,Alchemilla xanthochlora,3.7,1.85,3618.6,1809.3,1,,BG Utrecht,n,"Zonneveld, 2019"
77097302-1,Alisma gramineum Lej.,Alisma gramineum,Lej.,Alisma gramineum,23.3,11.65,22787.4,11393.7,3,14,NHN,n,"Zonneveld, 2019"
1047073-2,Alisma lanceolatum With.,Alisma lanceolatum,With.,Alisma lanceolatum,44.4,22.2,43423.2,21711.6,2,28,Leiden hybrid?,n,"Zonneveld, 2019"
30019518-2,Alisma plantago-aquatica L.,Alisma plantago-aquatica,L.,Alisma plantago-aquatica,21.9,10.95,21418.2,10709.1,2,14,flowering after 1200h,n,"Zonneveld, 2019"
1176324-2,Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,(M. Bieb.) Cavara & Grande,Alliaria petiolata,2.3,1.15,2249.4,1124.7,2,"36,42",Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
527777-1,Allium carinatum L.,Allium carinatum,L.,Allium carinatum,47.1,23.55,46063.8,23031.9,1,"16, 24",Leiden Schubertlaan front,n,"Zonneveld, 2019"
528525-1,Allium oleraceum L.,Allium oleraceum,L.,Allium oleraceum,55.4,27.7,54181.2,27090.6,1,"32, 40",Floron,n,"Zonneveld, 2019"
528578-1,Allium paradoxum (M. Bieb.) G. Don,Allium paradoxum,(M. Bieb.) G. Don,Allium paradoxum,55.4,27.7,54181.2,27090.6,2,16,Leiden K. Vlietkanaal,n,"Zonneveld, 2019"
528600-1,Allium pendulinum Ten.,Allium pendulinum,Ten.,Allium pendulinum,42,21,41076,20538,1,"14, 18",Ned. n. c.,n,"Zonneveld, 2019"
528746-1,Allium roseum L.,Allium roseum,L.,Allium roseum,78.9,39.45,77164.2,38582.1,2,16-40,NA,n,"Zonneveld, 2019"
528834-1,Allium scorodoprasum L.,Allium scorodoprasum,L.,Allium scorodoprasum,47.2,23.6,46161.6,23080.8,2,"16, 28",Ned. n. c.,n,"Zonneveld, 2019"
529088-1,Allium ursinum L.,Allium ursinum,L.,Allium ursinum,62,31,60636,30318,3,14,Leiden Kanaal,n,"Zonneveld, 2019"
294902-1,Alnus cordata (Loisel.) Duby,Alnus cordata,(Loisel.) Duby,Alnus cordata,1.13,0.565,1105.14,552.57,3,"28, 42",R'dam Trompenburg,n,"Zonneveld, 2019"
30106706-2,Alnus incana (L.) Moench,Alnus incana,(L.) Moench,Alnus incana,1.24,0.62,1212.72,606.36,1,28,R'dam Trompenburg,n,"Zonneveld, 2019"
387005-1,Alopecurus aequalis Sobol.,Alopecurus aequalis,Sobol.,Alopecurus aequalis,7.06,3.53,6904.68,3452.34,2,14,Leiden Schubertlaan,n,"Zonneveld, 2019"
387047-1,Alopecurus bulbosus Gouan,Alopecurus bulbosus,Gouan,Alopecurus bulbosus,13.9,6.95,13594.2,6797.1,1,"14 (21, 28)",Hargar polder,n,"Zonneveld, 2019"
387091-1,Alopecurus geniculatus L.,Alopecurus geniculatus,L.,Alopecurus geniculatus,14.3,7.15,13985.4,6992.7,6,28,Leiden Vliet,n,"Zonneveld, 2019"
387143-1,Alopecurus myosuroides Huds.,Alopecurus myosuroides,Huds.,Alopecurus myosuroides,7.52,3.76,7354.56,3677.28,3,14,Tholen Haften p.,n,"Zonneveld, 2019"
387176-1,Alopecurus pratensis L.,Alopecurus pratensis,L.,Alopecurus pratensis,12.6,6.3,12322.8,6161.4,1,28,Ned. n. c.,n,"Zonneveld, 2019"
558872-1,Althaea officinalis L.,Althaea officinalis,L.,Althaea officinalis,3.9,1.95,3814.2,1907.1,4,42,Leiden Cronesteyn,n,"Zonneveld, 2019"
277314-1,Alyssum alyssoides (L.) L.,Alyssum alyssoides,(L.) L.,Alyssum alyssoides,1.44,0.72,1408.32,704.16,3,"(16, 24) 32",Katwijk Grote Meren,n,"Zonneveld, 2019"
327388-2,Amaranthus albus L.,Amaranthus albus,L.,Amaranthus albus,1.09,0.545,1066.02,533.01,1,"32, 34",Waal Bizonbaai,n,"Zonneveld, 2019"
10615-2,Amaranthus blitoides S. Watson,Amaranthus blitoides,S. Watson,Amaranthus blitoides,1.16,0.58,1134.48,567.24,2,32,Waal Groenlanden,n,"Zonneveld, 2019"
10619-2,Amaranthus blitum L.,Amaranthus blitum,L.,Amaranthus blitum,1.59,0.795,1555.02,777.51,5,"16, 34",Leiden,n,"Zonneveld, 2019"
316347-2,Amaranthus caudatus L.,Amaranthus caudatus,L.,Amaranthus caudatus,1.05,0.525,1026.9,513.45,1,"32, 34, 64",BG Leiden,n,"Zonneveld, 2019"
10698-2,Amaranthus retroflexus L.,Amaranthus retroflexus,L.,Amaranthus retroflexus,1.18,0.59,1154.04,577.02,2,34,Leiden Coebel,n,"Zonneveld, 2019"
30153070-2,Ambrosia psilostachya DC.,Ambrosia psilostachya,DC.,Ambrosia psilostachya,5.95,2.975,5819.1,2909.55,3,"72, 108, 144",Noordwijk Z Boulevard,n,"Zonneveld, 2019"
315739-2,Ambrosia trifida L.,Ambrosia trifida,L.,Ambrosia trifida,4.05,2.025,3960.9,1980.45,3,24,Wamel,n,"Zonneveld, 2019"
721221-1,Amelanchier lamarckii F.G. Schroed.,Amelanchier lamarckii,F.G. Schroed.,Amelanchier lamarckii,2.52,1.26,2464.56,1232.28,2,68,NA,n,"Zonneveld, 2019"
1141132-2,Ammophila arenaria (L.) Link,Ammophila arenaria,(L.) Link,Ammophila arenaria,8.98,4.49,8782.44,4391.22,4,28,Katwijk Berkheide,n,"Zonneveld, 2019"
615773-1,Anacamptis pyramidalis (L.) Rich.,Anacamptis pyramidalis,(L.) Rich.,Anacamptis pyramidalis,26.8,13.4,26210.4,13105.2,3,36,Eyserbos Limburg,n,"Zonneveld, 2019"
30021967-2,Andromeda polifolia L.,Andromeda polifolia,L.,Andromeda polifolia,2.18,1.09,2132.04,1066.02,2,48,Leiden hort.,n,"Zonneveld, 2019"
708236-1,Anemone apennina L.,Anemone apennina,L.,Anemone apennina,28.7,14.35,28068.6,14034.3,2,16,NA,n,"Zonneveld, 2019"
13472-2,Anemone nemorosa L.,Anemone nemorosa,L.,Anemone nemorosa,38.9,19.45,38044.2,19022.1,9,30 (16-46),Ned. n. c.,n,"Zonneveld, 2019"
13507-2,Anemone ranunculoides L.,Anemone ranunculoides,L.,Anemone ranunculoides,35.4,17.7,34621.2,17310.6,7,32,Oegstgeest O. Poelgeest,n,"Zonneveld, 2019"
837530-1,Anethum graveolens L.,Anethum graveolens,L.,Anethum graveolens,2.81,1.405,2748.18,1374.09,1,22,hort.,n,"Zonneveld, 2019"
837560-1,Angelica archangelica L.,Angelica archangelica,L.,Angelica archangelica,6.41,3.205,6268.98,3134.49,4,22,Leiden Schubertlaan,n,"Zonneveld, 2019"
837777-1,Angelica sylvestris L.,Angelica sylvestris,L.,Angelica sylvestris,5.13,2.565,5017.14,2508.57,3,22,Leiden,n,"Zonneveld, 2019"
