kew_id,taxon_name,cited_name,sporophytic_chromosome_number,notes,unambiguous_match,number_identical_observations,,,,,
781250-1,Acer campestre L.,Acer campestre L.,26,,y,1,,,,,
77067622-1,Achillea maritima (L.) Ehrhend. & Y.P.Guo,Diotis maritima (L.) Sm.,18,,n,1,,,,,
77067622-1,Achillea maritima (L.) Ehrhend. & Y.P.Guo,Otanthus maritimus (L.) Hoffmanns. & Link,18,,n,1,,,,,
2294-2,Achillea millefolium L.,Achillea millefolium L.,54,,y,4,,,,,
2336-2,Achillea ptarmica L.,Achillea ptarmica L.,18,,y,3,,,,,
707615-1,Aconitum napellus L.,Aconitum napellus var. anglicum (Stapf) ...,32,,n,1,,,,,
84009-1,Acorus calamus L.,Acorus calamus L.,,c.36,y,1,,,,,
325030-2,Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,,c.60,y,1,,,,,
325030-2,Adiantum capillus-veneris L.,Adiantum capillus-veneris L.,60,,y,1,,,,,
148240-1,Adoxa moschatellina L.,Adoxa moschatellina L.,36,,y,2,,,,,
927643-1,Aesculus carnea J.Zeyh.,Aesculus carnea J.Zeyh.,80,,y,1,,,,,
781594-1,Aesculus hippocastanum L.,Aesculus hippocastanum L.,40,,y,1,,,,,
837341-1,Aethusa cynapium L.,Aethusa cynapium L.,20,,y,1,,,,,
837341-1,Aethusa cynapium L.,Aethusa cynapium subsp. cynapium ,20,,n,1,,,,,
316550-2,Agrimonia eupatoria L.,Agrimonia eupatoria L.,28,,y,11,,,,,
316550-2,Agrimonia eupatoria L.,Agrimonia eupatoria var. sepium Bréb.,28,,n,1,,,,,
720304-1,Agrimonia procera Wallr.,Agrimonia procera Wallr.,56,,y,6,,,,,
150316-1,Agrostemma githago L.,Agrostemma githago L.,48,,y,1,,,,,
385537-1,Agrostis canina L.,Agrostis canina subsp. canina ,14,,n,1,,,,,
385537-1,Agrostis canina L.,Agrostis canina subsp. canina var. fascicularis ,14,,n,1,,,,,
30197865-2,Agrostis capillaris L.,Agrostis tenuis Sibth.,,28 +0-1s,n,1,,,,,
30197865-2,Agrostis capillaris L.,Agrostis tenuis Sibth.,28,,n,2,,,,,
385626-1,Agrostis curtisii Kerguélen,"Agrostis setacea Curtis, non Vill.",14,,n,3,,,,,
385783-1,Agrostis gigantea Roth,Agrostis gigantea Roth,42,,y,1,,,,,
385783-1,Agrostis gigantea Roth,Agrostis nigra With.,42,,n,1,,,,,
386353-1,Agrostis stolonifera L.,Agrostis stolonifera L.,28,,y,4,,,,,
386503-1,Agrostis vinealis Schreb.,Agrostis canina subsp. montana (Hartm.) Hartm.,,28 +0-2s,n,1,,,,,
386503-1,Agrostis vinealis Schreb.,Agrostis canina subsp. montana (Hartm.) Hartm.,28,,n,5,,,,,
386503-1,Agrostis vinealis Schreb.,Agrostis canina subsp. montana var. arida ,28,,n,1,,,,,
386503-1,Agrostis vinealis Schreb.,Agrostis vinealis Schreb.,,c.56,y,1,,,,,
386633-1,Aira caryophyllea L.,Aira caryophyllea L.,14,,y,1,,,,,
386818-1,Aira praecox L.,Aira praecox L.,14,,y,2,,,,,
444546-1,Ajuga chamaepitys (L.) Schreb.,Ajuga chamaepitys (L.) Schreb.,28,,y,1,,,,,
444657-1,Ajuga pyramidalis L.,Ajuga pyramidalis L.,32,,y,2,,,,,
444664-1,Ajuga reptans L.,Ajuga reptans L.,32,,y,4,,,,,
720359-1,Alchemilla alpina L.,Alchemilla alpina L.,,140-144,y,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. filicaulis ,,150-152,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. filicaulis ,,152±3,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. filicaulis ,,c.103,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,101±1,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,104±1,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,104±1/2,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,104±2,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,105±1,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,105±2,n,3,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,106±1,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,c.105,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,c.108,n,1,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,,c.109,n,2,,,,,
8074-2,Alchemilla filicaulis Buser,Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw,106,,n,1,,,,,
720605-1,Alchemilla glaucescens Wallr.,Alchemilla glaucescens Wallr.,,c.110,y,1,,,,,
720770-1,Alchemilla minima Walters,Alchemilla minima Walters,,c.103/c.99/c.98,y,1,,,,,
720770-1,Alchemilla minima Walters,Alchemilla minima Walters,,c.105/c.108,y,1,,,,,
721091-1,Alchemilla xanthochlora Rothm.,Alchemilla xanthochlora Rothm.,,c.107,y,1,,,,,
1047073-2,Alisma lanceolatum With.,Alisma lanceolatum With.,28,,y,1,,,,,
30019518-2,Alisma plantago-aquatica L.,Alisma plantago-aquatica L.,14,,y,3,,,,,
1176324-2,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,42,,y,2,,,,,
332079-2,Allium ampeloprasum L.,Allium ampeloprasum L.,32,,y,1,,,,,
332079-2,Allium ampeloprasum L.,Allium ampeloprasum L.,48,,y,1,,,,,
